id,simTime,predprey,lifespan
21,20.096464157104492,pred,20.329578161239624
22,40.213449001312256,pred,40.434659004211426
6,50.2698860168457,prey,50.68253302574158
4,52.28535199165344,prey,52.72245192527771
5,54.290924072265625,prey,54.715903997421265
9,56.29278016090393,prey,56.66818904876709
15,58.3125581741333,prey,58.61601996421814
14,60.32014203071594,prey,60.63540196418762
23,60.32014203071594,pred,60.52962803840637
22,60.32014203071594,prey,20.089494943618774
8,62.34321117401123,prey,62.7310471534729
11,64.34820008277893,prey,64.69937491416931
2,66.34858703613281,prey,66.80956196784973
3,68.36717915534973,prey,68.81617307662964
21,70.37137818336487,prey,50.25726509094238
13,72.37546920776367,prey,72.70252704620361
16,74.38571119308472,prey,74.67741417884827
19,76.3969030380249,prey,76.65341186523438
7,78.4092001914978,prey,78.80957007408142
24,80.41836309432983,pred,80.6161150932312
30,100.53475499153137,pred,100.6616427898407
23,110.5928750038147,prey,50.250932931900024
35,120.63990521430969,pred,120.70762205123901
10,120.63990521430969,prey,121.003014087677
24,130.69410705566406,prey,50.251277923583984
36,140.76302313804626,pred,140.81903100013733
37,160.86467218399048,pred,160.9089870452881
35,170.8968629837036,prey,50.233237981796265
12,172.90497016906738,prey,173.2439000606537
38,180.9379072189331,pred,180.97041010856628
20,180.9379072189331,prey,181.18267607688904
17,182.94604921340942,prey,183.22598910331726
39,201.0482292175293,pred,201.0690360069275
1,203.0578191280365,prey,203.53135800361633
25,221.1353621482849,pred,221.32138514518738
37,223.13872408866882,prey,62.25060796737671
6,241.24487113952637,pred,190.9659161567688
39,241.24487113952637,prey,40.18992614746094
4,261.3527801036835,pred,209.0573000907898
36,263.3720471858978,prey,122.58506298065186
5,281.47081899642944,pred,227.1721580028534
25,283.47634506225586,prey,62.334245920181274
26,301.6222560405731,pred,301.7964680194855
6,301.6222560405731,prey,60.37069082260132
9,321.75900506973267,pred,265.4550099372864
4,325.7647051811218,prey,64.4050350189209
27,341.848237991333,pred,342.0105609893799
5,343.8551239967346,prey,62.37768793106079
28,361.97428607940674,pred,362.1246418952942
18,361.97428607940674,prey,362.2424988746643
14,382.09670400619507,pred,321.7630009651184
27,392.14567017555237,prey,50.29072618484497
31,402.1841490268707,pred,402.29925203323364
8,422.3247871398926,pred,359.96513509750366
0,422.3247871398926,prey,422.81218099594116
30,424.32483100891113,prey,323.76605796813965
32,442.4232621192932,pred,442.526664018631
9,456.468878030777,prey,134.70329594612122
34,462.5000259876251,pred,462.5795588493347
8,472.53157210350037,prey,50.182904958724976
21,482.5758512020111,pred,412.1879680156708
38,482.5758512020111,prey,301.6137261390686
16,502.68024921417236,pred,428.2861611843109
