id,simTime,predprey,lifespan,RanW,caughtBy,byRanW
16,22.07031798362732,pred,22.24724006652832,True,1,True
17,46.15792393684387,pred,46.32262897491455,True,1,True
18,72.21729278564453,pred,72.36971592903137,True,1,True
19,100.28915286064148,pred,100.4293270111084,True,1,True
20,130.40418481826782,pred,130.5321478843689,True,1,True
21,162.51066780090332,pred,162.6262288093567,True,1,True
16,180.56341791152954,prey,152.46987199783325,False,24,True
22,194.6124188899994,pred,194.7157199382782,True,1,True
25,228.74603486061096,pred,228.81419205665588,True,1,True
7,228.74603486061096,prey,66.23536705970764,True,1,True
26,262.85902976989746,pred,262.9155068397522,True,1,True
13,262.85902976989746,prey,0.0,True,1,True
9,280.89799880981445,prey,146.47794198989868,True,23,True
27,294.95962285995483,pred,295.0042130947113,True,1,True
28,329.084214925766,pred,329.11710000038147,True,1,True
1,329.084214925766,prey,0.0,True,1,True
29,363.1873948574066,pred,363.2085340023041,True,1,False
8,363.1873948574066,prey,72.23932695388794,True,1,False
7,397.29788088798523,pred,168.54016995429993,True,1,False
11,397.29788088798523,prey,0.0,True,1,False
9,431.41190576553345,pred,150.505619764328,False,23,True
28,431.41190576553345,prey,0.0,False,1,False
21,465.5118908882141,prey,302.99570989608765,False,24,True
13,465.5118908882141,pred,202.63942694664001,False,1,False
2,467.51820397377014,prey,367.22905111312866,True,23,True
1,497.60433197021484,pred,168.50822019577026,False,1,False
11,531.7070188522339,pred,134.3973889350891,True,1,False
27,531.7070188522339,prey,100.29511308670044,False,1,False
9,551.7805318832397,prey,120.36297988891602,False,23,True
18,553.786013841629,prey,347.15161204338074,False,8,True
14,555.79696393013,prey,497.6196129322052,True,8,True
22,559.810516834259,prey,94.29862594604492,True,27,False
21,559.810516834259,pred,94.29004693031311,False,24,True
17,573.8510007858276,prey,357.16048979759216,False,16,True
20,575.8516509532928,prey,312.9926211833954,False,24,True
18,583.8891158103943,pred,30.094830989837646,False,8,True
4,607.9693019390106,prey,76.26228308677673,True,2,False
8,607.9693019390106,pred,244.7701771259308,True,1,False
19,616.0041778087616,prey,218.70629692077637,True,23,True
15,624.0196759700775,prey,226.72179508209229,True,2,False
9,630.0277907848358,pred,78.23865079879761,True,23,True
28,654.1038777828217,pred,222.67988085746765,False,1,False
29,656.1057388782501,prey,120.37632393836975,False,27,False
